state,year,value
Virginia,2016,83.41524892555881
Washington,2016,87.41631371392981
West Virginia,2016,74.20875887138654
Wisconsin,2016,81.29491301668502
Wyoming,2016,83.23979626060397
Alabama,2016,74.6738763132126
Alaska,2016,85.72612972294219
Arizona,2016,83.11769665731394
Arkansas,2016,70.93823673032192
California,2016,85.40573221412745
Colorado,2016,86.9395900980184
Delaware,2016,83.34164091316919
Connecticut,2016,84.12915936339812
Florida,2016,81.16043719010186
Georgia,2016,80.65342153773533
Idaho,2016,79.37161958642727
Hawaii,2016,83.17605096212061
Illinois,2016,81.99195942966948
Indiana,2016,79.21674357648415
Iowa,2016,79.62445069122356
Kansas,2016,80.27507031205676
Kentucky,2016,77.31160047179203
Louisiana,2016,74.36937798153302
Maine,2016,80.71173306248353
Maryland,2016,85.78602487769159
Massachusetts,2016,85.51320889602923
Michigan,2016,80.47896156510828
Minnesota,2016,83.50589302958731
Mississippi,2017,73.38504368211872
Missouri,2017,81.2657983719999
Montana,2017,81.33403924923952
Nebraska,2017,84.38428607403677
Nevada,2017,83.3725709451651
New Hampshire,2017,88.43446188764895
New Jersey,2017,86.7501471046024
New Mexico,2017,76.43795468311396
New York,2017,83.4031229686712
North Carolina,2017,81.63339248948628
North Dakota,2017,81.25486079935253
Ohio,2017,83.20452640474187
Oklahoma,2017,79.72148393186993
Oregon,2017,86.81626429954447
Pennsylvania,2017,81.4629235911308
Rhode Island,2017,85.51895055144001
South Carolina,2017,79.21332213532098
South Dakota,2017,80.55161796316737
Tennessee,2017,79.35437514848445
Texas,2017,83.27632926199989
Vermont,2017,81.4319504031111
Utah,2017,87.81503473275869
Virginia,2017,84.82668349952579
Washington,2017,89.09070873338293
West Virginia,2017,76.03186319739189
Wisconsin,2017,83.34356610005646
Wyoming,2017,83.67641587982072
Alabama,2017,78.14390782254101
Alaska,2017,86.07088589420955
Arizona,2017,85.68421431962435
Arkansas,2017,73.01388799755784
California,2017,87.66256799161128
Colorado,2017,88.23690274012753
Delaware,2017,86.24981491156265
Connecticut,2017,85.52966548296607
Florida,2017,83.20712554701166
Georgia,2017,82.68076945876103
Idaho,2017,82.48938229342461
Hawaii,2017,84.48408349669707
Illinois,2017,83.64155425863939
Indiana,2017,81.1765460354851
Iowa,2017,81.8370503497004
Kansas,2017,82.95802505440737
Kentucky,2017,78.87543086107289
Louisiana,2017,75.57081450190918
Maine,2017,81.95648838451713
Maryland,2017,87.73738381393376
Massachusetts,2017,86.79423897696465
Michigan,2017,82.78101595998186
Minnesota,2017,85.88111891022662
Wisconsin,2018,84.44695526062834
Wyoming,2018,85.68481489845908
Mississippi,2018,76.25727248946899
Missouri,2018,82.92824972502942
Montana,2018,83.57798994485664
Nebraska,2018,85.7371095638088
